#strain_name,accession,strain_taxon_id,seq_name
YJM1444,CP005665,1294374,XV
YJM1444,CP006196,1294374,XVI
YJM1447,CP004488,1294375,I
YJM1447,CP004578,1294375,II
YJM1447,CP006317,1294375,III
YJM1447,CP004738,1294375,IV
YJM1447,CP004833,1294375,V
YJM1447,CP004968,1294375,VI
YJM1447,CP005272,1294375,VII
YJM1447,CP006105,1294375,VIII
YJM1447,CP005061,1294375,IX
YJM1447,CP005174,1294375,X
YJM1447,CP005369,1294375,XI
YJM1447,CP006421,1294375,XII
YJM1447,CP005470,1294375,XIII
YJM1447,CP005572,1294375,XIV
YJM1447,CP005666,1294375,XV
YJM1447,CP006197,1294375,XVI
YJM1460,CP004490,1294377,I
YJM1460,CP004580,1294377,II
YJM1460,CP006319,1294377,III
YJM1460,CP004740,1294377,IV
YJM1460,CP004835,1294377,V
YJM1460,CP004970,1294377,VI
YJM1460,CP005274,1294377,VII
YJM1460,CP006107,1294377,VIII
YJM1460,CP005063,1294377,IX
YJM1460,CP005176,1294377,X
YJM1460,CP005371,1294377,XI
YJM1460,CP006423,1294377,XII
YJM1460,CP005472,1294377,XIII
YJM1460,CP005574,1294377,XIV
YJM1460,CP005668,1294377,XV
YJM1460,CP006199,1294377,XVI
YJM1549,CP004497,1294384,I
YJM1549,CP004587,1294384,II
YJM1549,CP006326,1294384,III
YJM1549,CP004747,1294384,IV
YJM1549,CP004842,1294384,V
YJM1549,CP004977,1294384,VI
YJM1549,CP005281,1294384,VII
YJM1549,CP006114,1294384,VIII
YJM1549,CP005070,1294384,IX
YJM1549,CP005183,1294384,X
YJM1549,CP005378,1294384,XI
YJM1549,CP006430,1294384,XII
YJM1549,CP005479,1294384,XIII
YJM1549,CP005581,1294384,XIV
YJM1549,CP005675,1294384,XV
YJM1549,CP006206,1294384,XVI
YJM1573,CP004498,1294385,I
YJM1573,CP004588,1294385,II
YJM1573,CP006327,1294385,III
YJM1573,CP004748,1294385,IV
YJM1573,CP004843,1294385,V
YJM1573,CP004978,1294385,VI
YJM1573,CP005282,1294385,VII
YJM1573,CP006115,1294385,VIII
YJM1573,CP005071,1294385,IX
YJM1573,CP005184,1294385,X
YJM1573,CP005379,1294385,XI
YJM1573,CP006431,1294385,XII
YJM1573,CP005480,1294385,XIII
YJM1573,CP005582,1294385,XIV
YJM1573,CP005676,1294385,XV
YJM1573,CP006207,1294385,XVI
YJM1592,CP004500,1294387,I
YJM1592,CP004590,1294387,II
YJM1592,CP006329,1294387,III
YJM1592,CP004750,1294387,IV
YJM1592,CP004845,1294387,V
YJM1592,CP004980,1294387,VI
YJM1592,CP005284,1294387,VII
YJM1592,CP006117,1294387,VIII
YJM1592,CP005073,1294387,IX
YJM1592,CP005186,1294387,X
YJM1592,CP005381,1294387,XI
YJM1592,CP006433,1294387,XII
YJM1592,CP005482,1294387,XIII
YJM1592,CP005584,1294387,XIV
YJM1592,CP005678,1294387,XV
YJM1592,CP006209,1294387,XVI
YJM244,CP004413,1294306,I
YJM244,CP004617,1294306,II
